Wally, Grapes, 12916, 7534, 17346, 966, 984, 986, 25, 23, 33, 
Helen, Eggs, 15683, 14249, 14147, 998, 999, 997, 31, 31, 30, 
Dan, Grapes, 14662, 13772, 9573, 998, 870, 966, 25, 31, 25, 
Helen, Grapes, 12221, 13054, 12847, 988, 993, 886, 24, 23, 26, 
Chae, Fish, 15930, 13548, 12390, 987, 874, 967, 32, 29, 29, 
Chae, Butter, 14016, 17299, 15333, 972, 991, 943, 29, 35, 36, 
Mia, Butter, 18143, 12117, 12986, 953, 947, 977, 34, 25, 26, 
Mia, Fish, 13076, 14037, 14494, 937, 972, 952, 30, 27, 24, 
Claire, Grapes, 12655, 14894, 14556, 992, 976, 996, 26, 29, 28, 
Dan, Cherry, 11632, 11132, 15083, 995, 986, 991, 25, 24, 30, 
Wally, Cherry, 14693, 17805, 18460, 971, 935, 957, 27, 32, 35, 
Mia, Jellies, 18131, 17002, 16588, 997, 978, 991, 31, 33, 32, 
Boo, Grapes, 12441, 10403, 15738, 939, 861, 998, 28, 27, 36, 
Claire, Eggs, 10834, 12089, 13859, 887, 785, 995, 26, 29, 30, 
Helen, Cherry, 13580, 17270, 14719, 965, 998, 979, 26, 35, 33, 
Chae, Jellies, 11342, 12901, 15501, 914, 965, 999, 27, 24, 24, 
Dan, Apple, 14891, 11473, 19933, 937, 1000, 996, 30, 30, 31, 
Dan, Ham, 9525, 17961, 12792, 967, 992, 994, 19, 35, 26, 
Helen, Apple, 13390, 18159, 11239, 974, 967, 994, 24, 30, 20, 
Chae, Dates, 17007, 11329, 13876, 991, 930, 987, 30, 25, 25, 
Sam, Fish, 15390, 13748, 14878, 930, 945, 992, 29, 28, 33, 
Boo, Fish, 9980, 13325, 11144, 903, 899, 997, 21, 32, 20, 
Emily, Fish, 16621, 13188, 10057, 973, 987, 932, 34, 31, 26, 
Wally, Dates, 10009, 13324, 14348, 837, 984, 981, 24, 25, 28, 
Wally, Eggs, 15657, 22859, 16330, 934, 985, 979, 33, 40, 35, 
Claire, Butter, 21076, 16385, 16109, 980, 996, 946, 38, 29, 34, 
Dan, Jellies, 15607, 10815, 13399, 996, 970, 996, 28, 19, 23, 
Helen, Fish, 13750, 17713, 15178, 986, 999, 977, 24, 32, 29, 
Claire, Fish, 14353, 12201, 12196, 990, 951, 1000, 28, 21, 23, 
Chae, Grapes, 11980, 13888, 13953, 992, 997, 866, 25, 27, 29, 
Mia, Grapes, 13793, 9786, 13106, 983, 970, 924, 34, 23, 27, 
Chae, Eggs, 15890, 10018, 16200, 994, 952, 947, 29, 23, 30, 
Sam, Ice, 14726, 20312, 7547, 993, 994, 948, 27, 35, 18, 
Emily, Cherry, 13676, 16115, 9980, 923, 964, 972, 26, 31, 21, 
Dan, Fish, 11189, 17114, 13723, 986, 987, 986, 21, 34, 25, 
Wally, Jellies, 9196, 16182, 9492, 1000, 984, 971, 19, 28, 19, 
